Kuu Laenujääk Makse Intressiosa
1 12261019.08 51292.92 123123.12
2 12209213.22 51805.85 122610.19
3 12156889.31 52323.91 122092.13
4 12104042.16 52847.15 121568.89
5 12050666.54 53375.62 121040.42
6 11996757.16 53909.38 120506.67
7 11942308.69 54448.47 119967.57
8 11887315.73 54992.96 119423.09
9 11831772.84 55542.89 118873.16
10 11775674.53 56098.32 118317.73
11 11719015.23 56659.3 117756.75
12 11661789.34 57225.89 117190.15
13 11603991.19 57798.15 116617.89
14 11545615.06 58376.13 116039.91
15 11486655.16 58959.89 115456.15
16 11427105.67 59549.49 114866.55
17 11366960.68 60144.99 114271.06
18 11306214.25 60746.44 113669.61
19 11244860.34 61353.9 113062.14
20 11182892.9 61967.44 112448.6
21 11120305.79 62587.11 111828.93
22 11057092.8 63212.99 111203.06
23 10993247.69 63845.12 110570.93
24 10928764.12 64483.57 109932.48
25 10863635.72 65128.4 109287.64
26 10797856.03 65779.69 108636.36
27 10731418.55 66437.48 107978.56
28 10664316.69 67101.86 107314.19
29 10596543.81 67772.88 106643.17
30 10528093.21 68450.61 105965.44
31 10458958.09 69135.11 105280.93
32 10389131.63 69826.46 104589.58
33 10318606.9 70524.73 103891.32
34 10247376.93 71229.97 103186.07
35 10175434.65 71942.27 102473.77
36 10102772.96 72661.7 101754.35
37 10029384.64 73388.31 101027.73
38 9955262.44 74122.2 100293.85
39 9880399.02 74863.42 99552.62
40 9804786.97 75612.05 98803.99
41 9728418.8 76368.17 98047.87
42 9651286.94 77131.86 97284.19
43 9573383.77 77903.17 96512.87
44 9494701.56 78682.21 95733.84
45 9415232.53 79469.03 94947.02
46 9334968.81 80263.72 94152.33
47 9253902.46 81066.36 93349.69
48 9172025.44 81877.02 92539.02
49 9089329.65 82695.79 91720.25
50 9005806.9 83522.75 90893.3
51 8921448.93 84357.97 90058.07
52 8836247.37 85201.55 89214.49
53 8750193.8 86053.57 88362.47
54 8663279.7 86914.11 87501.94
55 8575496.45 87783.25 86632.8
56 8486835.37 88661.08 85754.96
57 8397287.68 89547.69 84868.35
58 8306844.51 90443.17 83972.88
59 8215496.91 91347.6 83068.45
60 8123235.84 92261.07 82154.97
61 8030052.15 93183.69 81232.36
62 7935936.63 94115.52 80300.52
63 7840879.95 95056.68 79359.37
64 7744872.71 96007.24 78408.8
65 7647905.39 96967.32 77448.73
66 7549968.4 97936.99 76479.05
67 7451052.04 98916.36 75499.68
68 7351146.52 99905.52 74510.52
69 7250241.94 100904.58 73511.47
70 7148328.31 101913.62 72502.42
71 7045395.55 102932.76 71483.28
72 6941433.47 103962.09 70453.96
73 6836431.76 105001.71 69414.33
74 6730380.03 106051.73 68364.32
75 6623267.79 107112.24 67303.8
76 6515084.42 108183.37 66232.68
77 6405819.22 109265.2 65150.84
78 6295461.37 110357.85 64058.19
79 6183999.94 111461.43 62954.61
80 6071423.89 112576.04 61840.0
81 5957722.09 113701.8 60714.24
82 5842883.27 114838.82 59577.22
83 5726896.06 115987.21 58428.83
84 5609748.97 117147.08 57268.96
85 5491430.42 118318.55 56097.49
86 5371928.68 119501.74 54914.3
87 5251231.92 120696.76 53719.29
88 5129328.2 121903.72 52512.32
89 5006205.43 123122.76 51293.28
90 4881851.44 124353.99 50062.05
91 4756253.91 125597.53 48818.51
92 4629400.41 126853.5 47562.54
93 4501278.37 128122.04 46294.0
94 4371875.11 129403.26 45012.78
95 4241177.82 130697.29 43718.75
96 4109173.55 132004.27 42411.78
97 3975849.24 133324.31 41091.74
98 3841191.69 134657.55 39758.49
99 3705187.56 136004.13 38411.92
100 3567823.4 137364.17 37051.88
101 3429085.59 138737.81 35678.23
102 3288960.4 140125.19 34290.86
103 3147433.96 141526.44 32889.6
104 3004492.25 142941.7 31474.34
105 2860121.13 144371.12 30044.92
106 2714306.3 145814.83 28601.21
107 2567033.32 147272.98 27143.06
108 2418287.61 148745.71 25670.33
109 2268054.44 150233.17 24182.88
110 2116318.94 151735.5 22680.54
111 1963066.09 153252.85 21163.19
112 1808280.7 154785.38 19630.66
113 1651947.47 156333.24 18082.81
114 1494050.9 157896.57 16519.47
115 1334575.36 159475.53 14940.51
116 1173505.07 161070.29 13345.75
117 1010824.08 162680.99 11735.05
118 846516.28 164307.8 10108.24
119 680565.4 165950.88 8465.16
120 512955.01 167610.39 6805.65
121 343668.51 169286.49 5129.55
122 172689.15 170979.36 3436.69
123 0.0 172689.15 1726.89
Intress kokku: 9140861.4 eurot
